Comment,Label
Last session of the day  http://twitpic.com/67ezh,Neutral
 Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,Positive
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",Negative
 happy bday!,Positive
 http://twitpic.com/4w75p - I like it!!,Positive
 that`s great!! weee!! visitors!,Positive
I THINK EVERYONE HATES ME ON HERE   lol,Negative
" soooooo wish i could, but im in school and myspace is completely blocked",Negative
 and within a short time of the last clue all of them,Neutral
 What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,Neutral
My bike was put on hold...should have known that.... argh total bummer,Negative
 I checked.  We didn`t win,Neutral
 .. and you`re on twitter! Did the tavern bore you that much?,Neutral
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",Negative
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,Negative
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",Negative
 Miss you,Negative
Cramps . . .,Negative
 you guys didn`t say hi or answer my questions yesterday  but nice songs.,Positive
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",Neutral
Stupid storm. No river for us tonight,Negative
My dead grandpa pays more attention to me than you do,Negative
"... need retail therapy, bad. AHHH.....gimme money geebus",Negative
about to go to sleep,Neutral
 you are lame  go make me breakfast!!,Negative
 thats so cool,Positive
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",Neutral
"Huh, another ScarePoint coding Sunday",Neutral
 look who I found just for you  --->  http://twitter.com/DJT2009,Positive
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",Negative
 guess that depends on if you want to be on the jury,Neutral
resorted to eating Mickey Ds ALONE.,Neutral
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",Neutral
 did he ask for your Twitter ID? Your sun sign?,Neutral
 where`d you go!,Neutral
Watching Body of Lies...good film,Positive
Happy mothers day mumm  xoxo,Positive
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,Neutral
 I`m sorry  at least it`s Friday?,Negative
"feels sorry every time I`m printing out, I use like 200 new papers",Negative
 4n? ma rog  never heard of it  esti beat acum? u tweet too much,Negative
 I always forget SOMETHING when I travel. I am at Newark airport.,Neutral
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,Neutral
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,Neutral
" Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",Positive
  Hope ur havin fun in da club,Positive
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,Neutral
thinks SG is wonderful,Positive
  im really sorry i know wallah how u feel this life is shittttttttt,Negative
Not happy,Negative
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,Neutral
 I`ll oscillate from one to the other.,Neutral
I`m so very tired...and have insomnia.,Negative
 Thanks Ennio,Positive
 you should totally come get me and bring me to kelslaws house with you.,Neutral
" You seem nice, you`re generous and you know your stuff",Positive
 U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,Neutral
almost got a kitty yesterday...but it didn`t work out,Neutral
"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",Neutral
   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,Positive
 i still dont know what we would do though,Neutral
"_xo   dang it, so its not certain ? ? ? are you okay?",Neutral
Change of plans. I am staying in Brandon.  No Papaya Salad for me.,Neutral
"Dear rain, you suck. Now I gotta change my plans for tonight",Negative
at starbucks with my love. eff school. i have work later too.,Neutral
I just cried whilst watching hollyoaks  .. i need a life! lol,Negative
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",Positive
Terminator Salvation... by myself.,Neutral
" for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",Negative
 Why do I have to enter my registration details every time I update?,Neutral
"On the monday, so i wont be able to be with you!  i love you",Positive
" Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",Positive
 TGIF is right...I think I broke my toe last night - on my bad foot.,Neutral
" Oherr it`s soon then, do you have plans? I had a party on saturday  x",Neutral
_LaMont yr very young looking dude,Positive
": hmmm, wrong link, ignore my tweet",Negative
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,Negative
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,Negative
" yep, i wish they were all playing dubiln",Positive
 im a lady and ladies don`t move couches. they direct where the couches go,Neutral
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,Positive
 26th February,Neutral
Guess what? mom adopted a kitty today (11 months) His name is Corky,Neutral
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,Positive
 Thank you!  I`m working on `s,Positive
 lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,Neutral
Not feeling all that well today,Negative
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",Negative
_berland LMAO I know I know,Neutral
Gnight shar   <(` `<)Vega(>` `)>,Neutral
The underwire in my bra is sticking out and poking me in the armpit,Negative
Happy Mothers Day!!!,Positive
"Yes, I am",Neutral
 I can`t call Mitch!  Im from sweden!,Neutral
Happy star wars day! May the fourth be with you,Positive
